| 00 00 | 0aaa aaaa | Patch Name1 (32 - 126) |
| 00 01 | 0aaa aaaa | Patch Name2 (32 - 126) |
| 00 02 | 0aaa aaaa | Patch Name3 (32 - 126) |
| 00 03 | 0aaa aaaa | Patch Name4 (32 - 126) |
| 00 04 | 0aaa aaaa | Patch Name5 (32 - 126) |
| 00 05 | 0aaa aaaa | Patch Name6 (32 - 126) |
| 00 06 | 0aaa aaaa | Patch Name7 (32 - 126) |
| 00 07 | 0aaa aaaa | Patch Name8 (32 - 126) |
| 00 08 | 0aaa aaaa | Patch Name9 (32 - 126) |
| 00 09 | 0aaa aaaa | Patch Name10 (32 - 126) |
| 00 0A | 0aaa aaaa | Patch Name11 (32 - 126) |
| 00 0B | 0aaa aaaa | Patch Name12 (32 - 126) |
| 00 0C | 0aaa aaaa | Patch Name13 (32 - 126) |
| 00 0D | 0aaa aaaa | Patch Name14 (32 - 126) |
| 00 0E | 0aaa aaaa | Patch Name15 (32 - 126) |
| 00 0F | 0aaa aaaa | Patch Name16 (32 - 126) |
| 00 10 | 0000 0000 | N/A(fixed value) (0) |
| 00 11 | 0000 0000 | N/A(fixed value) (0) |
| 00 12 | 0000 0000 | N/A(fixed value) (0) |
| 00 13 | 0000 0000 | N/A(fixed value) (0) |
| 00 14 | 0000 0000 | N/A(fixed value) (0) |
| 00 15 | 0000 0000 | N/A(fixed value) (0) |
| 00 16 | 0000 0000 | N/A(fixed value) (0) |
| 00 17 | 0000 0000 | N/A(fixed value) (0) |
| 00 18 | 0000 0000 | N/A(fixed value) (0) |
| 00 19 | 0000 0000 | N/A(fixed value) (0) |
| 00 1A | 0000 0000 | N/A(fixed value) (0) |
| 00 1B | 0000 0000 | N/A(fixed value) (0) |
| 00 1C | 0000 0000 | N/A(fixed value) (0) |
| 00 1D | 0000 0000 | N/A(fixed value) (0) |
| 00 1E | 0000 0000 | N/A(fixed value) (0) |
| 00 1F | 0000 0000 | N/A(fixed value) (0) |
| 00 20 | 0000 0000 | N/A(fixed value) (0) |
| 00 21 | 0000 0000 | N/A(fixed value) (0) |
| 00 22 | 0000 0000 | N/A(fixed value) (0) |
| 00 23 | 00aa aaaa | Num1 Function (0 - 57) |
| | | OFF, 1, PATCH +1, PATCH -1, LEVEL +10, LEVEL +20, |
| | | LEVEL -10, LEVEL -20, BPM TAP, DLY1 TAP, DLY2 TAP, |
| | | DLY3 TAP, DLY4 TAP, MST DLY TAP, TUNER, AMP CTL1, |
| | | AMP CTL2, CMP, DS1, DS1 SOLO, DS2, DS2 SOLO, |
| | | AMP-1, AMP-1 SOLO, AMP-2, AMP-2 SOLO, NS 1, NS 2, |
| | | EQ 1, EQ 2, EQ 3, EQ 4, DLY1, DLY2, DLY3, DLY4, |
| | | MST DLY, CHO, FX1, FX2, FX3, FX1 TRIGGER, |
| | | FX2 TRIGGER, FX3 TRIGGER, REV, PFX, DIV1 CH.SEL, |
