|# 00 00 | 0000 aaaa | |
| 00 01 | 0000 bbbb | |
| 00 02 | 0000 cccc | |
| 00 03 | 0000 dddd | FOOT VOLUME:VOLUME MIN (0 - 1000) |
| | | 0.0 - 100.0 |
|# 00 04 | 0000 aaaa | |
| 00 05 | 0000 bbbb | |
| 00 06 | 0000 cccc | |
| 00 07 | 0000 dddd | FOOT VOLUME:VOLUME MAX (0 - 1000) |
| | | 0.0 - 100.0 |
|# 00 08 | 0000 aaaa | |
| 00 09 | 0000 bbbb | |
| 00 0A | 0000 cccc | |
| 00 0B | 0000 dddd | FOOT VOLUME:PEDAL POSITION (0 - 1000) |
| | | 0.0 - 100.0 |
| 00 0C | 0000 00aa | FOOT VOLUME:VOLUME CURVE (0 - 3) |
| | | SLOW1, SLOW2, NORMAL, FAST |
| 00 0D | 0000 000a | DIV1:MODE (0 - 1) |
| | | SINGLE, DUAL |
| 00 0E | 0000 000a | DIV1:CH SELECT (0 - 1) |
| | | A, B |
| 00 0F | 0000 00aa | DIV1 A:DYNAMIC (0 - 2) |
| | | OFF, POLAR+, POLAR- |
| 00 10 | 0aaa aaaa | DIV1 A:DYNA SENS (0 - 100) |
| 00 11 | 0000 00aa | DIV1 A:FILTER (0 - 2) |
| | | OFF, LPF, HPF |
| 00 12 | 000a aaaa | DIV1 A:CUTOFF FREQ (0 - 16) |
| | | 100Hz, 125Hz, 160Hz, 200Hz, 250Hz, 315Hz, 400Hz, |
| | | 500Hz, 630Hz, 800Hz, 1.00kHz, 1.25kHz, 1.60kHz, |
| | | 2.00kHz, 2.50kHz, 3.15kHz, 4.00kHz |
| 00 13 | 0000 00aa | DIV1 B:DYNAMIC (0 - 2) |
| | | OFF, POLAR+, POLAR- |
| 00 14 | 0aaa aaaa | DIV1 B:DYNA SENS (0 - 100) |
| 00 15 | 0000 00aa | DIV1 B:FILTER (0 - 2) |
| | | OFF, LPF, HPF |
| 00 16 | 000a aaaa | DIV1 B:CUTOFF FREQ (0 - 16) |
| | | 100Hz, 125Hz, 160Hz, 200Hz, 250Hz, 315Hz, 400Hz, |
| | | 500Hz, 630Hz, 800Hz, 1.00kHz, 1.25kHz, 1.60kHz, |
| | | 2.00kHz, 2.50kHz, 3.15kHz, 4.00kHz |
| 00 17 | 0000 000a | MIX1:MODE (0 - 1) |
| | | STEREO, PAN L/R |
| 00 18 | 0aaa aaaa | MIX1:A/B BALANCE (0 - 100) |
| | | 100:0, 100:2 - 100:100 - 2:100, 0:100 |
| 00 19 | 0aaa aaaa | MIX1:SPREAD (0 - 100) |
| 00 1A | 0000 000a | DIV2:MODE (0 - 1) |
| | | SINGLE, DUAL |
| 00 1B | 0000 000a | DIV2:CH SELECT (0 - 1) |
| | | A, B |
| 00 1C | 0000 00aa | DIV2 A:DYNAMIC (0 - 2) |
| | | OFF, POLAR+, POLAR- |
| 00 1D | 0aaa aaaa | DIV2 A:DYNA SENS (0 - 100) |
| 00 1E | 0000 00aa | DIV2 A:FILTER (0 - 2) |
| | | OFF, LPF, HPF |
| 00 1F | 000a aaaa | DIV2 A:CUTOFF FREQ (0 - 16) |
| | | 100Hz, 125Hz, 160Hz, 200Hz, 250Hz, 315Hz, 400Hz, |
| | | 500Hz, 630Hz, 800Hz, 1.00kHz, 1.25kHz, 1.60kHz, |
| | | 2.00kHz, 2.50kHz, 3.15kHz, 4.00kHz |
| 00 20 | 0000 00aa | DIV2 B:DYNAMIC (0 - 2) |
| | | OFF, POLAR+, POLAR- |
| 00 21 | 0aaa aaaa | DIV2 B:DYNA SENS (0 - 100) |
| 00 22 | 0000 00aa | DIV2 B:FILTER (0 - 2) |
| | | OFF, LPF, HPF |
| 00 23 | 000a aaaa | DIV2 B:CUTOFF FREQ (0 - 16) |
| | | 100Hz, 125Hz, 160Hz, 200Hz, 250Hz, 315Hz, 400Hz, |
| | | 500Hz, 630Hz, 800Hz, 1.00kHz, 1.25kHz, 1.60kHz, |
| | | 2.00kHz, 2.50kHz, 3.15kHz, 4.00kHz |
| 00 24 | 0000 000a | MIX2:MODE (0 - 1) |
| | | STEREO, PAN L/R |
| 00 25 | 0aaa aaaa | MIX2:A/B BALANCE (0 - 100) |
| | | 100:0, 100:2 - 100:100 - 2:100, 0:100 |
| 00 26 | 0aaa aaaa | MIX2:SPREAD (0 - 100) |
| 00 27 | 0000 000a | DIV3:MODE (0 - 1) |
| | | SINGLE, DUAL |
| 00 28 | 0000 000a | DIV3:CH SELECT (0 - 1) |
| | | A, B |
| 00 29 | 0000 00aa | DIV3 A:DYNAMIC (0 - 2) |
| | | OFF, POLAR+, POLAR- |
| 00 2A | 0aaa aaaa | DIV3 A:DYNA SENS (0 - 100) |
| 00 2B | 0000 00aa | DIV3 A:FILTER (0 - 2) |
| | | OFF, LPF, HPF |
| 00 2C | 000a aaaa | DIV3 A:CUTOFF FREQ (0 - 16) |
| | | 100Hz, 125Hz, 160Hz, 200Hz, 250Hz, 315Hz, 400Hz, |
| | | 500Hz, 630Hz, 800Hz, 1.00kHz, 1.25kHz, 1.60kHz, |
| | | 2.00kHz, 2.50kHz, 3.15kHz, 4.00kHz |
| 00 2D | 0000 00aa | DIV3 B:DYNAMIC (0 - 2) |
| | | OFF, POLAR+, POLAR- |
| 00 2E | 0aaa aaaa | DIV3 B:DYNA SENS (0 - 100) |
| 00 2F | 0000 00aa | DIV3 B:FILTER (0 - 2) |
| | | OFF, LPF, HPF |
| 00 30 | 000a aaaa | DIV3 B:CUTOFF (0 - 16) |
| | | 100Hz, 125Hz, 160Hz, 200Hz, 250Hz, 315Hz, 400Hz, |
| | | 500Hz, 630Hz, 800Hz, 1.00kHz, 1.25kHz, 1.60kHz, |
| | | 2.00kHz, 2.50kHz, 3.15kHz, 4.00kHz |
| 00 31 | 0000 000a | MIX3:MODE (0 - 1) |
| | | STEREO, PAN L/R |
| 00 32 | 0aaa aaaa | MIX3:A/B BALANCE (0 - 100) |
| | | 100:0, 100:2 - 100:100 - 2:100, 0:100 |
| 00 33 | 0aaa aaaa | MIX3:SPREAD (0 - 100) |
| 00 34 | 0000 000a | SEND/RETURN 1/2:STEREO LINK (0 - 1) |
| | | OFF, ON |
| 00 35 | 0000 000a | SEND/RETURN 1:ON/OFF (0 - 1) |
| | | OFF, ON |
| 00 36 | 0000 00aa | SEND/RETURN 1:MODE (0 - 2) |
| | | NORMAL, DIRECT MIX, BRANCH OUT |
|# 00 37 | 0000 aaaa | |
| 00 38 | 0000 bbbb | SEND/RETURN 1:SEND LEVEL (0 - 200) |
|# 00 39 | 0000 aaaa | |
| 00 3A | 0000 bbbb | SEND/RETURN 1:RETURN LEVEL (0 - 200) |
| 00 3B | 0aaa aaaa | SEND/RETURN 1:ADJUST (0 - 100) |
| 00 3C | 0000 000a | SEND/RETURN 2:ON/OFF (0 - 1) |
| | | OFF, ON |
| 00 3D | 0000 00aa | SEND/RETURN 2:MODE (0 - 2) |
| | | NORMAL, DIRECT MIX, BRANCH OUT |
|# 00 3E | 0000 aaaa | |
| 00 3F | 0000 bbbb | SEND/RETURN 2:SEND LEVEL (0 - 200) |
|# 00 40 | 0000 aaaa | |
| 00 41 | 0000 bbbb | SEND/RETURN 2:RETURN LEVEL (0 - 200) |
