| 00 00 | 0000 aaaa | STOMPBOX (Comp) (0 - 10) |
| | | ---, CMP-1 - 10 |
| 00 01 | 0000 aaaa | STOMPBOX (Dist1) (0 - 10) |
| | | ---, DS-1 - 10 |
| 00 02 | 0000 aaaa | STOMPBOX (Dist2) (0 - 10) |
| | | ---, DS-1 - 10 |
| 00 03 | 0000 aaaa | STOMPBOX (Preamp1) (0 - 10) |
| | | ---, AMP-1 - 10 |
| 00 04 | 0000 aaaa | STOMPBOX (Preamp2) (0 - 10) |
| | | ---, AMP-1 - 10 |
| 00 05 | 0000 aaaa | STOMPBOX (Ns1) (0 - 10) |
| | | ---, NS-1 - 10 |
| 00 06 | 0000 aaaa | STOMPBOX (Ns2) (0 - 10) |
| | | ---, NS-1 - 10 |
| 00 07 | 0000 aaaa | STOMPBOX (Eq1) (0 - 10) |
| | | ---, EQ-1 - 10 |
| 00 08 | 0000 aaaa | STOMPBOX (Eq2) (0 - 10) |
| | | ---, EQ-1 - 10 |
| 00 09 | 0000 aaaa | STOMPBOX (Eq3) (0 - 10) |
| | | ---, EQ-1 - 10 |
| 00 0A | 0000 aaaa | STOMPBOX (Eq4) (0 - 10) |
| | | ---, EQ-1 - 10 |
| 00 0B | 0000 aaaa | STOMPBOX (Delay1) (0 - 10) |
| | | ---, DLY-1 - 10 |
| 00 0C | 0000 aaaa | STOMPBOX (Delay2) (0 - 10) |
| | | ---, DLY-1 - 10 |
| 00 0D | 0000 aaaa | STOMPBOX (Delay3) (0 - 10) |
| | | ---, DLY-1 - 10 |
| 00 0E | 0000 aaaa | STOMPBOX (Delay4) (0 - 10) |
| | | ---, DLY-1 - 10 |
| 00 0F | 0000 aaaa | STOMPBOX (MstDelay) (0 - 10) |
| | | ---, MDL-1 - 10 |
| 00 10 | 0000 aaaa | STOMPBOX (Chorus) (0 - 10) |
| | | ---, CHO-1 - 10 |
| 00 11 | 0000 aaaa | STOMPBOX (Fx1AGSim) (0 - 10) |
| | | ---, ACO-1 - 10 |
| 00 12 | 0000 aaaa | STOMPBOX (Fx1AcReso) (0 - 10) |
| | | ---, ACR-1 - 10 |
| 00 13 | 0000 aaaa | STOMPBOX (Fx1AWah) (0 - 10) |
| | | ---, AW-1 - 10 |
| 00 14 | 0000 aaaa | STOMPBOX (Fx1Chorus) (0 - 10) |
| | | ---, CHO-1 - 10 |
| 00 15 | 0000 aaaa | STOMPBOX (Fx1CVibe) (0 - 10) |
| | | ---, CV-1 - 10 |
| 00 16 | 0000 aaaa | STOMPBOX (Fx1Comp) (0 - 10) |
| | | ---, CMP-1 - 10 |
| 00 17 | 0000 aaaa | STOMPBOX (Fx1Defretter) (0 - 10) |
| | | ---, DEF-1 - 10 |
| 00 18 | 0000 aaaa | STOMPBOX (Fx1Feedbacker) (0 - 10) |
| | | ---, FB-1 - 10 |
| 00 19 | 0000 aaaa | STOMPBOX (Fx1Flanger) (0 - 10) |
| | | ---, FL-1 - 10 |
| 00 1A | 0000 aaaa | STOMPBOX (Fx1Harmonist) (0 - 10) |
| | | ---, HRM-1 - 10 |
| 00 1B | 0000 aaaa | STOMPBOX (Fx1Humanizer) (0 - 10) |
| | | ---, HMN-1 - 10 |
| 00 1C | 0000 aaaa | STOMPBOX (Fx1Octave) (0 - 10) |
| | | ---, OC-1 - 10 |
| 00 1D | 0000 aaaa | STOMPBOX (Fx1Overtone) (0 - 10) |
| | | ---, OT-1 - 10 |
| 00 1E | 0000 aaaa | STOMPBOX (Fx1Pan) (0 - 10) |
| | | ---, PAN-1 - 10 |
| 00 1F | 0000 aaaa | STOMPBOX (Fx1Phaser) (0 - 10) |
| | | ---, PH-1 - 10 |
