| 00 00 | 00aa aaaa | INPUT LEVEL (12 - 52) |
| | | -20 - 0 - +20 [dB] |
| 00 01 | 000a aaaa | MAIN:AIRD OUTPUT SELECT (0 - 23) |
| | | LINE/PHONES, RECORDING, JC-120 RETURN, |
| | | JC-120 INPUT, Blues Cube Tour410 RETURN, |
| | | Blues Cube Tour410 INPUT, |
| | | Blues Cube Artist212 RETURN, |
| | | Blues Cube Artist212 INPUT, WAZA Amp 412 RETURN, |
| | | WAZA Amp 412 INPUT, WAZA Amp 212 RETURN, |
| | | WAZA Amp 212 INPUT, KATANA-100/212 RETURN, |
| | | KATANA-100/212 INPUT, KATANA-100 RETURN, |
| | | KATANA-100 INPUT, TUBE COMBO 212 RETURN, |
| | | TUBE COMBO 212 INPUT, TUBE COMBO 112 RETURN, |
| | | TUBE COMBO 112 INPUT, TUBE STACK 412 RETURN, |
| | | TUBE STACK 412 INPUT, USER 1, USER 2 |
| 00 02 | 000a aaaa | MAIN R:AIRD OUTPUT SELECT (0 - 23) |
| | | LINE/PHONES, RECORDING, JC-120 RETURN, |
| | | JC-120 INPUT, Blues Cube Tour410 RETURN, |
| | | Blues Cube Tour410 INPUT, |
| | | Blues Cube Artist212 RETURN, |
| | | Blues Cube Artist212 INPUT, WAZA Amp 412 RETURN, |
| | | WAZA Amp 412 INPUT, WAZA Amp 212 RETURN, |
| | | WAZA Amp 212 INPUT, KATANA-100/212 RETURN, |
| | | KATANA-100/212 INPUT, KATANA-100 RETURN, |
| | | KATANA-100 INPUT, TUBE COMBO 212 RETURN, |
| | | TUBE COMBO 212 INPUT, TUBE COMBO 112 RETURN, |
| | | TUBE COMBO 112 INPUT, TUBE STACK 412 RETURN, |
| | | TUBE STACK 412 INPUT, USER 1, USER 2 |
| 00 03 | 00aa aaaa | MAIN L:LOW GAIN (12 - 52) |
| | | -20 - 0 - +20 [dB] |
| 00 04 | 00aa aaaa | MAIN L:MID GAIN (12 - 52) |
| | | -20 - 0 - +20 [dB] |
| 00 05 | 000a aaaa | MAIN L:MID FREQ (0 - 29) |
| | | 20.0Hz, 25.0Hz, 31.5Hz, 40.0Hz, 50.0Hz, 63.0Hz, |
| | | 80.0Hz, 100Hz, 125Hz, 160Hz, 200Hz, 250Hz, 315Hz, |
| | | 400Hz, 500Hz, 630Hz, 800Hz, 1.00kHz, 1.25kHz, |
| | | 1.60kHz, 2.00kHz, 2.50kHz, 3.15kHz, 4.00kHz, |
| | | 5.00kHz, 6.30kHz, 8.00kHz, 10.0kHz, 12.5kHz, |
| | | 16.0kHz |
| 00 06 | 0000 0aaa | MAIN L:MID Q (0 - 5) |
| | | 0.5, 1, 2, 4, 8, 16 |
| 00 07 | 00aa aaaa | MAIN L:HIGH GAIN (12 - 52) |
| | | -20 - 0 - +20 [dB] |
| 00 08 | 000a aaaa | MAIN L:LOW CUT (0 - 31) |
| | | FLAT, 20.0Hz, 25.0Hz, 31.5Hz, 40.0Hz, 50.0Hz, |
| | | 63.0Hz, 80.0Hz, 100Hz, 125Hz, 160Hz, 200Hz, 250Hz, |
| | | 315Hz, 400Hz, 500Hz, 630Hz, 800Hz, 1.00kHz, |
| | | 1.25kHz, 1.60kHz, 2.00kHz, 2.50kHz, 3.15kHz, |
| | | 4.00kHz, 5.00kHz, 6.30kHz, 8.00kHz, 10.0kHz, |
| | | 12.5kHz, 16.0kHz, 20.0kHz |
| 00 09 | 000a aaaa | MAIN L:HIGH CUT (0 - 31) |
| | | 20.0Hz, 25.0Hz, 31.5Hz, 40.0Hz, 50.0Hz, 63.0Hz, |
| | | 80.0Hz, 100Hz, 125Hz, 160Hz, 200Hz, 250Hz, 315Hz, |
| | | 400Hz, 500Hz, 630Hz, 800Hz, 1.00kHz, 1.25kHz, |
| | | 1.60kHz, 2.00kHz, 2.50kHz, 3.15kHz, 4.00kHz, |
| | | 5.00kHz, 6.30kHz, 8.00kHz, 10.0kHz, 12.5kHz, |
| | | 16.0kHz, 20.0kHz, FLAT |
| 00 0A | 00aa aaaa | MAIN R:LOW GAIN (12 - 52) |
| | | -20 - 0 - +20 [dB] |
| 00 0B | 00aa aaaa | MAIN R:MID GAIN (12 - 52) |
| | | -20 - 0 - +20 [dB] |
| 00 0C | 000a aaaa | MAIN R:MID FREQ (0 - 29) |
| | | 20.0Hz, 25.0Hz, 31.5Hz, 40.0Hz, 50.0Hz, 63.0Hz, |
| | | 80.0Hz, 100Hz, 125Hz, 160Hz, 200Hz, 250Hz, 315Hz, |
| | | 400Hz, 500Hz, 630Hz, 800Hz, 1.00kHz, 1.25kHz, |
| | | 1.60kHz, 2.00kHz, 2.50kHz, 3.15kHz, 4.00kHz, |
